sample_index,raw_model_text,raw_safe,raw_safe_error,strict_smiles,strict_decode_error,strict_qed,strict_sa,strict_is_first_unique,strict_quality_pass,strict_quality_counted,released_repaired_smiles,released_smiles,released_decode_error,released_qed,released_sa,released_is_first_unique,released_quality_pass,released_quality_counted,released_was_recovered,released_largest_component_applied
10,O=C1c2ccc(Cl)cc2CCCN13.[C@@H]345.c14nc2c(s1)CCC2.C56.C16CCC1,O=C1c2ccc(Cl)cc2CCCN13.[C@@H]345.c14nc2c(s1)CCC2.C56.C16CCC1,,O=C1c2ccc(Cl)cc2CCCN1[C@@H](CC1CCC1)c1nc2c(s1)CCC2,,0.6682077372816244,3.250389979502943,True,True,True,O=C1c2ccc(Cl)cc2CCCN1[C@@H](CC1CCC1)c1nc2c(s1)CCC2,O=C1c2ccc(Cl)cc2CCCN1[C@@H](CC1CCC1)c1nc2c(s1)CCC2,,0.6682077372816244,3.250389979502943,True,True,True,False,False
11,OC(=NCCc1ccc2cc1N=C(O)CCC=3.C=3C(=O)O.N12CCOCC1,OC(=NCCc1ccc2cc1N=C(O)CCC=3.C=3C(=O)O.N12CCOCC1,,,decode_returned_none,,,False,,False,C1COCCN1.C=CC(=O)O,C=CC(=O)O,,0.4508580596042506,2.273849361309342,True,False,False,True,True
12,CC(O)=NC1CN6CC(C)C1=O.C64.c14csc5n1.C53.c13ccccc1,CC(O)=NC1CN6CC(C)C1=O.C64.c14csc5n1.C53.c13ccccc1,,CC(O)=NC1CN(Cc2csc(Cc3ccccc3)n2)CC(C)C1=O,,0.6595537176845071,3.641885866221852,True,True,True,CC(O)=NC1CN(Cc2csc(Cc3ccccc3)n2)CC(C)C1=O,CC(O)=NC1CN(Cc2csc(Cc3ccccc3)n2)CC(C)C1=O,,0.6595537176845071,3.641885866221852,True,True,True,False,False
13,OC(=NC1CCCC12CCN5C2.c15cc(F)c2nn4cc2c1.c14ccccc1,OC(=NC1CCCC12CCN5C2.c15cc(F)c2nn4cc2c1.c14ccccc1,,,decode_returned_none,,,False,,False,Fc1cccc2cn(-c3ccccc3)nc12,Fc1cccc2cn(-c3ccccc3)nc12,,0.6054483325704757,1.9328882462157626,True,True,True,True,False
14,C=CC3.O63.C6(=O)CC57C(=C)CCC(C)(C)C.c15ccc4cc1.c17ccccc1O.C4(F)(F)F.CC,C=CC3.O63.C6(=O)CC57C(=C)CCC(C)(C)C.c15ccc4cc1.c17ccccc1O.C4(F)(F)F.CC,,C=CCOC(=O)CC(C(=C)CCC(C)(C)C)(c1ccc(C(F)(F)F)cc1)c1ccccc1O.CC,,0.28444740017244485,3.5518343577889544,True,False,False,C=CCOC(=O)CC(C(=C)CCC(C)(C)C)(c1ccc(C(F)(F)F)cc1)c1ccccc1O.CC,C=CCOC(=O)CC(C(=C)CCC(C)(C)C)(c1ccc(C(F)(F)F)cc1)c1ccccc1O,,0.31794788157749154,3.4725702183053775,True,False,False,False,True
15,CO4.c14ccc6c(F)c1.C56.N5C1CCCc2sc(Br)cc21,CO4.c14ccc6c(F)c1.C56.N5C1CCCc2sc(Br)cc21,,COc1ccc(CNC2CCCc3sc(Br)cc32)c(F)c1,,0.8328699332136531,2.9350036144284513,True,True,True,COc1ccc(CNC2CCCc3sc(Br)cc32)c(F)c1,COc1ccc(CNC2CCCc3sc(Br)cc32)c(F)c1,,0.8328699332136531,2.9350036144284513,True,True,True,False,False
16,Cc1nccn12.C2(C)C4.N43.c13cc(N)c(F)c(F)c1,Cc1nccn12.C2(C)C4.N43.c13cc(N)c(F)c(F)c1,,Cc1nccn1C(C)CNc1cc(N)c(F)c(F)c1,,0.8365305013669968,3.2068091150355924,True,True,True,Cc1nccn1C(C)CNc1cc(N)c(F)c(F)c1,Cc1nccn1C(C)CNc1cc(N)c(F)c(F)c1,,0.8365305013669968,3.2068091150355924,True,True,True,False,False
17,O=C1C2C=C(c3ccccc3N155C(=O)C24.c15ccccc1.c14ccc(Br)cc1Br,O=C1C2C=C(c3ccccc3N155C(=O)C24.c15ccccc1.c14ccc(Br)cc1Br,,,decode_returned_none,,,False,,False,Brc1cccc(Br)c1.c1ccccc1,Brc1cccc(Br)c1,,0.6481408061312922,1.604966372272962,True,True,True,True,True
18,CCCC(C)C.Cc1nc2c(C=3cccn4c1C=O.C=3C.C4(=O)O,CCCC(C)C.Cc1nc2c(C=3cccn4c1C=O.C=3C.C4(=O)O,,,decode_returned_none,,,False,,False,C=CC.CCCC(C)C.O=CO,CCCC(C)C,,0.4838902980848686,1.8933213175169303,True,False,False,True,True
19,CCCC4.C14(C)OC3C23C(=O)C2(CC1CC2.C3CC5.C15CC(C)CCC1,CCCC4.C14(C)OC3C23C(=O)C2(CC1CC2.C3CC5.C15CC(C)CCC1,,,decode_returned_none,,,False,,False,CCCC.CCCC1CCCC(C)C1,CCCC1CCCC(C)C1,,0.5493432091052539,2.7019180270565855,True,False,False,True,True
20,O=C(O)CC3.[C@@H]13CC(=O)O[C@@H]4N1.C4C1=C(CO)CCCC1,O=C(O)CC3.[C@@H]13CC(=O)O[C@@H]4N1.C4C1=C(CO)CCCC1,,O=C(O)CC[C@@H]1CC(=O)O[C@@H](CC2=C(CO)CCCC2)N1,,0.5055342512657451,4.227077743655483,True,False,False,O=C(O)CC[C@@H]1CC(=O)O[C@@H](CC2=C(CO)CCCC2)N1,O=C(O)CC[C@@H]1CC(=O)O[C@@H](CC2=C(CO)CCCC2)N1,,0.5055342512657451,4.227077743655483,True,False,False,False,False
21,Cn1nc2c5nccc2c14.N15c2ccccc2CCC1.C4N=C=O,Cn1nc2c5nccc2c14.N15c2ccccc2CCC1.C4N=C=O,,Cn1nc2c(N3CCCc4ccccc43)nccc2c1CN=C=O,,0.549906840536308,2.9709413754185885,True,False,False,Cn1nc2c(N3CCCc4ccccc43)nccc2c1CN=C=O,Cn1nc2c(N3CCCc4ccccc43)nccc2c1CN=C=O,,0.549906840536308,2.9709413754185885,True,False,False,False,False
22,CC1CN5CCCN1C.C5(=O)CC=3.C=3c1cccc4c1.O4C(F)(F)F,CC1CN5CCCN1C.C5(=O)CC=3.C=3c1cccc4c1.O4C(F)(F)F,,CC1CN(C(=O)CC=Cc2cccc(OC(F)(F)F)c2)CCCN1C,,0.8272662063293162,2.995979725156202,True,True,True,CC1CN(C(=O)CC=Cc2cccc(OC(F)(F)F)c2)CCCN1C,CC1CN(C(=O)CC=Cc2cccc(OC(F)(F)F)c2)CCCN1C,,0.8272662063293162,2.995979725156202,True,True,True,False,False
23,CCCC6.O67.[C@H]17CC(=O)C2=CC[C@@H]5[C@H]2[C@H]5C1.O85.c18ccc(O)c2ccccc12,CCCC6.O67.[C@H]17CC(=O)C2=CC[C@@H]5[C@H]2[C@H]5C1.O85.c18ccc(O)c2ccccc12,,,decode_returned_none,,,False,,False,CCCCO[C@H]1CC(=O)C2=CC[C@H]3[C@H](C1)[C@@H]23.Oc1ccc(O)c2ccccc12,CCCCO[C@H]1CC(=O)C2=CC[C@H]3[C@H](C1)[C@@H]23,,0.6808820948910166,4.229585872656397,True,False,False,True,True
24,CCC5.c15ccccc13.C3(O)C4.N4C(O)=Nc1ccc(Cl)cc1.O2C,CCC5.c15ccccc13.C3(O)C4.N4C(O)=Nc1ccc(Cl)cc1.O2C,,,decode_returned_none,,,False,,False,CCCc1ccccc1C(O)CNC(O)=Nc1ccc(Cl)cc1.CO,CCCc1ccccc1C(O)CNC(O)=Nc1ccc(Cl)cc1,,0.5494102249755352,2.9320944415263277,True,False,False,True,True
25,CC6.c16ccc(/C=N/N=C(O)C7cc1C.N17CCN5CC1.c15nc2ccccc2oc1=O,CC6.c16ccc(/C=N/N=C(O)C7cc1C.N17CCN5CC1.c15nc2ccccc2oc1=O,,,decode_returned_none,,,False,,False,CC.O=c1oc2ccccc2nc1N1CCNCC1,O=c1oc2ccccc2nc1N1CCNCC1,,0.7783913332621812,2.3032016587636317,True,True,True,True,True
26,CC6.n16cc3cn1.N53C.C57.c17ccnc4c1.N4(C)C,CC6.n16cc3cn1.N53C.C57.c17ccnc4c1.N4(C)C,,CCn1cc(N(C)Cc2ccnc(N(C)C)c2)cn1,,0.8227894255024606,2.6704573615216134,True,True,True,CCn1cc(N(C)Cc2ccnc(N(C)C)c2)cn1,CCn1cc(N(C)Cc2ccnc(N(C)C)c2)cn1,,0.8227894255024606,2.6704573615216134,True,True,True,False,False
27,CCC6.c16noc2c1CN7C2.C74=O.c14ccc5cc1.C5CC,CCC6.c16noc2c1CN7C2.C74=O.c14ccc5cc1.C5CC,,CCCc1ccc(C(=O)N2Cc3onc(CCC)c3C2)cc1,,0.8445370654995372,2.50283104949445,True,True,True,CCCc1ccc(C(=O)N2Cc3onc(CCC)c3C2)cc1,CCCc1ccc(C(=O)N2Cc3onc(CCC)c3C2)cc1,,0.8445370654995372,2.50283104949445,True,True,True,False,False
28,CC1=CCC5CC16.C5(C)C.N736.C3C(O)=NC1CC1.C74=O.c14cccn1C,CC1=CCC5CC16.C5(C)C.N736.C3C(O)=NC1CC1.C74=O.c14cccn1C,,CC1=CCC(C(C)C)CC1N(CC(O)=NC1CC1)C(=O)c1cccn1C,,0.4757274727303693,4.157051768479619,True,False,False,CC1=CCC(C(C)C)CC1N(CC(O)=NC1CC1)C(=O)c1cccn1C,CC1=CCC(C(C)C)CC1N(CC(O)=NC1CC1)C(=O)c1cccn1C,,0.4757274727303693,4.157051768479619,True,False,False,False,False
29,Cc1ccc(S5(=O)=O)cc1Cl.N45.C4[C@H]6C.O63.c13ccc2nonc2c1,Cc1ccc(S5(=O)=O)cc1Cl.N45.C4[C@H]6C.O63.c13ccc2nonc2c1,,Cc1ccc(S(=O)(=O)NC[C@@H](C)Oc2ccc3nonc3c2)cc1Cl,,0.7050201718824105,2.875259581821277,True,True,True,Cc1ccc(S(=O)(=O)NC[C@@H](C)Oc2ccc3nonc3c2)cc1Cl,Cc1ccc(S(=O)(=O)NC[C@@H](C)Oc2ccc3nonc3c2)cc1Cl,,0.7050201718824105,2.875259581821277,True,True,True,False,False
30,CO7.C75=O.C15CC1N=C(O)c1cccc4c1C.N1C(=O)c2ccccc2S[C@@H]16.O6C,CO7.C75=O.C15CC1N=C(O)c1cccc4c1C.N1C(=O)c2ccccc2S[C@@H]16.O6C,,,decode_returned_none,,,False,,False,COC(=O)C1CC1N=C(O)c1ccccc1C.CO[C@@H]1NC(=O)c2ccccc2S1,COC(=O)C1CC1N=C(O)c1ccccc1C,,0.49222560078827476,3.399534963989222,True,False,False,True,True
31,CO6.C63=O.c13ccc5cc1.N75.[C@H]1(C(O)=NCC#N)CCN14.C4(C)=O,CO6.C63=O.c13ccc5cc1.N75.[C@H]1(C(O)=NCC#N)CCN14.C4(C)=O,,,decode_returned_none,,,False,,False,CC(=O)N1CC[C@@H]1C(O)=NCC#N.COC(=O)c1ccc(N)cc1,CC(=O)N1CC[C@@H]1C(O)=NCC#N,,0.3722639433904817,3.86016699675236,True,False,False,True,True
32,CC5CC=O.O25.C2(=O)C6.N36.C34=O.C14CCCSC1,CC5CC=O.O25.C2(=O)C6.N36.C34=O.C14CCCSC1,,CC(CC=O)OC(=O)CNC(=O)C1CCCSC1,,0.5713536527306671,3.512328855603756,True,False,False,CC(CC=O)OC(=O)CNC(=O)C1CCCSC1,CC(CC=O)OC(=O)CNC(=O)C1CCCSC1,,0.5713536527306671,3.512328855603756,True,False,False,False,False
33,CN42.S23.C3C(O)=NN.c13ccccc1F.C4(C)(C)CO,CN42.S23.C3C(O)=NN.c13ccccc1F.C4(C)(C)CO,,,decode_returned_none,,,False,,False,CN(SCC(O)=NN)C(C)(C)CO.Fc1ccccc1,CN(SCC(O)=NN)C(C)(C)CO,,0.19670817607735022,4.120649540218616,True,False,False,True,True
34,C4.N45.C4C3.c15ccc7nc1.N3(C)C.C27=O.N26C.C6(C)C,C4.N45.C4C3.c15ccc7nc1.N3(C)C.C27=O.N26C.C6(C)C,,,decode_returned_none,,,False,,False,CCN(C)C.CNc1ccc(C(=O)N(C)C(C)C)nc1,CNc1ccc(C(=O)N(C)C(C)C)nc1,,0.8185292117891216,2.2904681188039167,True,True,True,True,True
35,CC7.c17cc(=O)oc6n1.C6C(O)=N[C@@H]1CCCc2cn4nc21.C45.c15ccsc1,CC7.c17cc(=O)oc6n1.C6C(O)=N[C@@H]1CCCc2cn4nc21.C45.c15ccsc1,,CCc1cc(=O)oc(CC(O)=N[C@@H]2CCCc3cn(Cc4ccsc4)nc32)n1,,0.5067517539589638,3.9779824104538157,True,False,False,CCc1cc(=O)oc(CC(O)=N[C@@H]2CCCc3cn(Cc4ccsc4)nc32)n1,CCc1cc(=O)oc(CC(O)=N[C@@H]2CCCc3cn(Cc4ccsc4)nc32)n1,,0.5067517539589638,3.9779824104538157,True,False,False,False,False
36,CCC2C#N.O23.c13cc(Br)ccc1/C=N/c1cc(I)cc(Br)c1NO,CCC2C#N.O23.c13cc(Br)ccc1/C=N/c1cc(I)cc(Br)c1NO,,CCC(C#N)Oc1cc(Br)ccc1/C=N/c1cc(I)cc(Br)c1NO,,0.24855330858866118,3.809092099738143,True,False,False,CCC(C#N)Oc1cc(Br)ccc1/C=N/c1cc(I)cc(Br)c1NO,CCC(C#N)Oc1cc(Br)ccc1/C=N/c1cc(I)cc(Br)c1NO,,0.24855330858866118,3.809092099738143,True,False,False,False,False
37,OC(C2=N6.C12CC1.S56.C5C(O)=NN=Cc1cc3c4cc1Br.C3(F)(F)F.N14CCCC1,OC(C2=N6.C12CC1.S56.C5C(O)=NN=Cc1cc3c4cc1Br.C3(F)(F)F.N14CCCC1,,,decode_returned_none,,,False,,False,C1CC1.OC(CS)=NN=Cc1cc(C(F)(F)F)c(N2CCCC2)cc1Br,OC(CS)=NN=Cc1cc(C(F)(F)F)c(N2CCCC2)cc1Br,,0.33690793863448876,3.158977135611197,True,False,False,True,True
38,CC6.O86.C87=O.c17ccc4cc1.O54.C5(C)C%10.O%103.c13cccc(Br)c1,CC6.O86.C87=O.c17ccc4cc1.O54.C5(C)C%10.O%103.c13cccc(Br)c1,,CCOC(=O)c1ccc(OC(C)COc2cccc(Br)c2)cc1,,0.6661582683675912,2.333972548035204,True,True,True,CCOC(=O)c1ccc(OC(C)COc2cccc(Br)c2)cc1,CCOC(=O)c1ccc(OC(C)COc2cccc(Br)c2)cc1,,0.6661582683675912,2.333972548035204,True,True,True,False,False
39,CC9.O97.c17ccccc1N=C(O)CCC6.c16cn2cc8sc2n1.C85.c15cccs1,CC9.O97.c17ccccc1N=C(O)CCC6.c16cn2cc8sc2n1.C85.c15cccs1,,CCOc1ccccc1N=C(O)CCCc1cn2cc(Cc3cccs3)sc2n1,,0.26194667530294397,3.0339096274035793,True,False,False,CCOc1ccccc1N=C(O)CCCc1cn2cc(Cc3cccs3)sc2n1,CCOc1ccccc1N=C(O)CCCc1cn2cc(Cc3cccs3)sc2n1,,0.26194667530294397,3.0339096274035793,True,False,False,False,False
40,CCCS5(=O)=O.N35C.C34=O.c14cccc2ccc(Cl)nc12,CCCS5(=O)=O.N35C.C34=O.c14cccc2ccc(Cl)nc12,,CCCS(=O)(=O)N(C)C(=O)c1cccc2ccc(Cl)nc12,,0.8100994732033344,2.5704096123350038,True,True,True,CCCS(=O)(=O)N(C)C(=O)c1cccc2ccc(Cl)nc12,CCCS(=O)(=O)N(C)C(=O)c1cccc2ccc(Cl)nc12,,0.8100994732033344,2.5704096123350038,True,True,True,False,False
41,CC1CCN4CC1.C4(=O)C[C@H]3C(O)=NC(C)C.c13ccccc1,CC1CCN4CC1.C4(=O)C[C@H]3C(O)=NC(C)C.c13ccccc1,,CC1CCN(C(=O)C[C@@H](C(O)=NC(C)C)c2ccccc2)CC1,,0.6636271721111314,2.945004382354732,True,True,True,CC1CCN(C(=O)C[C@@H](C(O)=NC(C)C)c2ccccc2)CC1,CC1CCN(C(=O)C[C@@H](C(O)=NC(C)C)c2ccccc2)CC1,,0.6636271721111314,2.945004382354732,True,True,True,False,False
42,CC4.N436.C67.c17ccc(C#N)cc1.N39.C9(=O)C5=O.c15ncccc18.n18cccn1,CC4.N436.C67.c17ccc(C#N)cc1.N39.C9(=O)C5=O.c15ncccc18.n18cccn1,,CCN(Cc1ccc(C#N)cc1)NC(=O)C(=O)c1ncccc1-n1cccn1,,0.3846308798979256,2.913808506201125,True,False,False,CCN(Cc1ccc(C#N)cc1)NC(=O)C(=O)c1ncccc1-n1cccn1,CCN(Cc1ccc(C#N)cc1)NC(=O)C(=O)c1ncccc1-n1cccn1,,0.3846308798979256,2.913808506201125,True,False,False,False,False
43,CCC3N=C(O)C4.N14CCCCCCC1.c13cccc2ccccc12,CCC3N=C(O)C4.N14CCCCCCC1.c13cccc2ccccc12,,CCC(N=C(O)CN1CCCCCCC1)c1cccc2ccccc12,,0.5758743121531769,2.91476737348167,True,False,False,CCC(N=C(O)CN1CCCCCCC1)c1cccc2ccccc12,CCC(N=C(O)CN1CCCCCCC1)c1cccc2ccccc12,,0.5758743121531769,2.91476737348167,True,False,False,False,False
44,Cc1cc9cc(C)c1.c19ccc5cc1.N576.c17ccccn1.C16CCCC18.C8N,Cc1cc9cc(C)c1.c19ccc5cc1.N576.c17ccccn1.C16CCCC18.C8N,,Cc1cc(C)cc(-c2ccc(N(c3ccccn3)C3CCCC3CN)cc2)c1,,0.6317455177338905,3.2367634700009997,True,True,True,Cc1cc(C)cc(-c2ccc(N(c3ccccn3)C3CCCC3CN)cc2)c1,Cc1cc(C)cc(-c2ccc(N(c3ccccn3)C3CCCC3CN)cc2)c1,,0.6317455177338905,3.2367634700009997,True,True,True,False,False
45,CO2.C2(=O)C6.[C@]165CCCN1C.C5C3=O.N34C.c14ccccc1Br,CO2.C2(=O)C6.[C@]165CCCN1C.C5C3=O.N34C.c14ccccc1Br,,COC(=O)C[C@@]1(CC(=O)N(C)c2ccccc2Br)CCCN1C,,0.7341972105904272,3.3998560307063785,True,True,True,COC(=O)C[C@@]1(CC(=O)N(C)c2ccccc2Br)CCCN1C,COC(=O)C[C@@]1(CC(=O)N(C)c2ccccc2Br)CCCN1C,,0.7341972105904272,3.3998560307063785,True,True,True,False,False
46,Cn1ncc3c1N=C(O)[C@@H]1C[C@H]1[N+](=O)[O-].c13ccc(Cl)cc1Cl,Cn1ncc3c1N=C(O)[C@@H]1C[C@H]1[N+](=O)[O-].c13ccc(Cl)cc1Cl,,Cn1ncc(-c2ccc(Cl)cc2Cl)c1N=C(O)[C@@H]1C[C@H]1[N+](=O)[O-],,0.3920658704484022,3.8869714003878713,True,False,False,Cn1ncc(-c2ccc(Cl)cc2Cl)c1N=C(O)[C@@H]1C[C@H]1[N+](=O)[O-],Cn1ncc(-c2ccc(Cl)cc2Cl)c1N=C(O)[C@@H]1C[C@H]1[N+](=O)[O-],,0.3920658704484022,3.8869714003878713,True,False,False,False,False
47,CO5.c15ccc6nc1.S64.c14nc2cc([N+](=O)[O-])cc3c2c1=O)OCC3,CO5.c15ccc6nc1.S64.c14nc2cc([N+](=O)[O-])cc3c2c1=O)OCC3,,,decode_returned_none,,,False,,False,COc1ccc(S)nc1,COc1ccc(S)nc1,,0.5966942746191647,2.7660470841486333,True,False,False,True,False
48,O=Nn1c4nc2ccccc21.c14ccc2c(c1)OCc1ccccc12,O=Nn1c4nc2ccccc21.c14ccc2c(c1)OCc1ccccc12,,O=Nn1c(-c2ccc3c(c2)OCc2ccccc2-3)nc2ccccc21,,0.49727407503050003,2.516732733058138,True,False,False,O=Nn1c(-c2ccc3c(c2)OCc2ccccc2-3)nc2ccccc21,O=Nn1c(-c2ccc3c(c2)OCc2ccccc2-3)nc2ccccc21,,0.49727407503050003,2.516732733058138,True,False,False,False,False
49,CCCC5=O.c15ccccc12.N32C.C34=O.N46.c16cccc(F)c1,CCCC5=O.c15ccccc12.N32C.C34=O.N46.c16cccc(F)c1,,CCCC(=O)c1ccccc1N(C)C(=O)Nc1cccc(F)c1,,0.8273910331496347,2.07151501335845,True,True,True,CCCC(=O)c1ccccc1N(C)C(=O)Nc1cccc(F)c1,CCCC(=O)c1ccccc1N(C)C(=O)Nc1cccc(F)c1,,0.8273910331496347,2.07151501335845,True,True,True,False,False
50,CCCC4C5.n15nc(C)c2c6csc21.C6C(O)=NN=C(O)c1ccc(Cl)cc1Cl.O4C,CCCC4C5.n15nc(C)c2c6csc21.C6C(O)=NN=C(O)c1ccc(Cl)cc1Cl.O4C,,CCCC(Cn1nc(C)c2c(CC(O)=NN=C(O)c3ccc(Cl)cc3Cl)csc21)OC,,0.22363679013609652,3.894662051802615,True,False,False,CCCC(Cn1nc(C)c2c(CC(O)=NN=C(O)c3ccc(Cl)cc3Cl)csc21)OC,CCCC(Cn1nc(C)c2c(CC(O)=NN=C(O)c3ccc(Cl)cc3Cl)csc21)OC,,0.22363679013609652,3.894662051802615,True,False,False,False,False
51,CC6.S64.c14ncc5s1.C5CC[NH+]=C(O)C3.n13nc(C)cc1Cl,CC6.S64.c14ncc5s1.C5CC[NH+]=C(O)C3.n13nc(C)cc1Cl,,CCSc1ncc(CCC[NH+]=C(O)Cn2nc(C)cc2Cl)s1,,0.32764044489646627,3.911328816243829,True,False,False,CCSc1ncc(CCC[NH+]=C(O)Cn2nc(C)cc2Cl)s1,CCSc1ncc(CCC[NH+]=C(O)Cn2nc(C)cc2Cl)s1,,0.32764044489646627,3.911328816243829,True,False,False,False,False
52,N=C(O)C15Oc2ccccc2N13.C5(C)O.c13ccc4cc1.C46=O.c16ccc(F)cc1,N=C(O)C15Oc2ccccc2N13.C5(C)O.c13ccc4cc1.C46=O.c16ccc(F)cc1,,CC(O)C1(C(=N)O)Oc2ccccc2N1c1ccc(C(=O)c2ccc(F)cc2)cc1,,0.33544506978554617,3.4445254403720087,True,False,False,CC(O)C1(C(=N)O)Oc2ccccc2N1c1ccc(C(=O)c2ccc(F)cc2)cc1,CC(O)C1(C(=N)O)Oc2ccccc2N1c1ccc(C(=O)c2ccc(F)cc2)cc1,,0.33544506978554617,3.4445254403720087,True,False,False,False,False
