row_type,direction,contrast_id,control_config,treatment_config,temperature,branch,metric,status,seed,control_status,treatment_status,requested_samples,control_quality_count,treatment_quality_count,control_value,treatment_value,difference,defined_seed_count,expected_seed_count,mean_difference,sample_sd
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,quality,completed,2100,completed,completed,100,52,46,0.52,0.46,-0.06,,,,
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,quality,completed,2101,completed,completed,100,47,49,0.47,0.49,0.02,,,,
summary,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,quality,completed,,,,,,,,,,2,2,-0.02,0.0565685424949238
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,diversity,completed,2100,completed,completed,100,,,0.8811861413493774,0.8980973287963857,0.0169111874470083,,,,
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,diversity,completed,2101,completed,completed,100,,,0.8821734828753869,0.8851882466528291,0.0030147637774422,,,,
summary,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,diversity,completed,,,,,,,,,,2,2,0.00996297561222525,0.009826255410991436
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,validity,completed,2100,completed,completed,100,,,0.82,0.63,-0.19,,,,
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,validity,completed,2101,completed,completed,100,,,0.79,0.7,-0.09,,,,
summary,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,validity,completed,,,,,,,,,,2,2,-0.14,0.07071067811865475
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,uniqueness,completed,2100,completed,completed,100,,,1.0,1.0,0.0,,,,
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,uniqueness,completed,2101,completed,completed,100,,,1.0,1.0,0.0,,,,
summary,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,uniqueness,completed,,,,,,,,,,2,2,0.0,0.0
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,quality,completed,2100,completed,completed,100,44,32,0.44,0.32,-0.12,,,,
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,quality,completed,2101,completed,completed,100,40,33,0.4,0.33,-0.07,,,,
summary,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,quality,completed,,,,,,,,,,2,2,-0.095,0.035355339059327376
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,diversity,completed,2100,completed,completed,100,,,0.8751895863648507,0.8817508648951448,0.0065612785302941,,,,
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,diversity,completed,2101,completed,completed,100,,,0.870419880255936,0.8749197064146464,0.0044998261587104,,,,
summary,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,strict,diversity,completed,,,,,,,,,,2,2,0.00553055234450225,0.0014576669510399248
